key,fare_amount
2015-01-27 13:08:24.0000002,10.367282
2015-01-27 13:08:24.0000003,10.180376
2011-10-08 11:53:44.0000002,4.670334
2012-12-01 21:12:12.0000002,8.22098
2012-12-01 21:12:12.0000003,16.652573
2012-12-01 21:12:12.0000005,10.6189375
2011-10-06 12:10:20.0000001,5.7734118
2011-10-06 12:10:20.0000003,47.604134
2011-10-06 12:10:20.0000002,11.866647
2014-02-18 15:22:20.0000002,6.012397
2014-02-18 15:22:20.0000003,9.938361
2014-02-18 15:22:20.0000001,18.53543
2010-03-29 20:20:32.0000002,4.471401
2010-03-29 20:20:32.0000001,6.570363
2011-10-06 03:59:12.0000002,7.742839
2011-10-06 03:59:12.0000001,11.040467
2012-07-15 16:45:04.0000006,4.9885526
2012-07-15 16:45:04.0000002,8.569121
2012-07-15 16:45:04.0000003,4.758291
2012-07-15 16:45:04.0000004,4.3657203
2014-10-29 02:09:56.0000001,6.41041
2014-06-14 13:39:00.00000010,9.215371
2014-06-14 13:39:00.00000060,7.192383
2014-06-14 13:39:00.00000087,7.934434
2014-06-14 13:39:00.00000050,18.736387
2014-06-14 13:39:00.0000003,5.991768
2014-06-14 13:39:00.000000158,37.917023
2014-06-14 13:39:00.00000015,25.026817
2014-06-14 13:39:00.00000073,6.69127
2014-06-14 13:39:00.00000077,15.614606
2014-06-14 13:39:00.000000145,12.034818
2014-06-14 13:39:00.00000079,6.582163
2014-06-14 13:39:00.000000121,6.7698193
2014-06-14 13:39:00.00000021,11.94608
2014-06-14 13:39:00.0000005,8.991315
2014-06-14 13:39:00.000000165,6.821314
2014-06-14 13:39:00.000000184,6.8481436
2014-06-14 13:39:00.00000059,5.665991
2014-06-14 13:39:00.00000070,7.997605
2014-06-14 13:39:00.00000068,5.444762
2014-06-14 13:39:00.000000133,20.493607
2014-06-14 13:39:00.000000128,9.542806
2014-06-14 13:39:00.000000136,18.89069
2014-06-14 13:39:00.00000017,10.328925
2014-06-14 13:39:00.000000111,4.8506603
2014-06-14 13:39:00.000000115,10.887392
2014-06-14 13:39:00.000000168,5.5351744
2014-06-14 13:39:00.00000031,6.6534643
2014-06-14 13:39:00.000000116,5.9650116
2014-06-14 13:39:00.00000051,4.738243
2014-06-14 13:39:00.000000193,12.88782
2014-06-14 13:39:00.000000132,13.750088
2014-06-14 13:39:00.000000167,20.041748
2014-06-14 13:39:00.00000044,6.4988384
2014-06-14 13:39:00.000000138,6.9567404
2014-06-14 13:39:00.00000066,15.085908
2014-06-14 13:39:00.00000063,12.094124
2014-06-14 13:39:00.000000154,10.852532
2014-06-14 13:39:00.00000097,13.477091
2014-06-14 13:39:00.00000067,12.816463
2014-06-14 13:39:00.000000179,6.8918667
2014-06-14 13:39:00.00000092,11.532085
2014-06-14 13:39:00.00000029,5.6305265
2014-06-14 13:39:00.000000177,5.289996
2014-06-14 13:39:00.000000192,7.4371386
2014-06-14 13:39:00.000000181,6.9847975
2014-06-14 13:39:00.000000120,10.885855
2014-06-14 13:39:00.0000008,5.9116497
2014-06-14 13:39:00.000000103,4.7990565
2014-06-14 13:39:00.00000049,16.985796
2014-06-14 13:39:00.000000108,6.6648283
2014-06-14 13:39:00.00000072,4.6989307
2014-06-14 13:39:00.000000182,11.560644
2014-06-14 13:39:00.00000061,6.8561325
2014-06-14 13:39:00.00000093,9.346792
2014-06-14 13:39:00.000000170,12.709519
2014-06-14 13:39:00.000000147,53.689568
2014-06-14 13:39:00.000000140,4.4819922
2014-06-14 13:39:00.000000159,4.85933
2014-06-14 13:39:00.00000012,5.318218
2014-06-14 13:39:00.00000025,5.736082
2014-06-14 13:39:00.000000156,5.901161
2014-06-14 13:39:00.000000152,7.2075186
2014-06-14 13:39:00.000000129,10.864271
2014-06-14 13:39:00.000000119,18.522081
2014-06-14 13:39:00.000000118,6.521473
2014-06-14 13:39:00.00000076,4.6686287
2014-06-14 13:39:00.000000135,7.775873
2014-06-14 13:39:00.00000023,19.82211
2014-06-14 13:39:00.00000082,9.277147
2014-06-14 13:39:00.000000125,11.172774
2014-06-14 13:39:00.00000075,8.409587
